DATE,d,TNK,TRT,TotEggs,femwt,#FEM,eggs/fem,Eggs_gFem,#fert,#vbl,#fert/fem,#vbl/fem,#fert/gfem,#vbl/gfem,PctFert,PctVBL
06/22/10,15,2,0.75ug/kg,6337.333333,71.4,2,3168.666667,88.75816993,2123.333333,1274,1061.666667,637,29.73856209,17.84313725,67.01030928,40.20618557
06/23/10,16,2,0.75ug/kg,5146,71.4,2,2573,72.07282913,1736,868,868,434,24.31372549,12.15686275,67.46987952,33.73493976
06/24/10,17,2,0.75ug/kg,5698,71.4,2,2849,79.80392157,2284.333333,1026.666667,1142.166667,513.3333333,31.99346405,14.37908497,80.18018018,36.03603604
06/25/10,18,2,0.75ug/kg,4806,71.4,2,2403,67.31092437,1350,729,675,364.5,18.90756303,10.21008403,56.17977528,30.33707865
06/26/10,19,2,0.75ug/kg,5348,70,2,2674,76.4,1719,764,859.5,382,24.55714286,10.91428571,64.28571429,28.57142857
06/27/10,20,2,0.75ug/kg,6656,70,2,3328,95.08571429,2288,988,1144,494,32.68571429,14.11428571,68.75,29.6875
06/28/10,21,2,0.75ug/kg,4250,70,2,2125,60.71428571,651.6666667,255,325.8333333,127.5,9.30952381,3.642857143,30.66666667,12
06/29/10,22,2,0.75ug/kg,3552,70,2,1776,50.74285714,744,288,372,144,10.62857143,4.114285714,41.89189189,16.21621622
06/30/10,23,2,0.75ug/kg,3498.666667,70,2,1749.333333,49.98095238,1194.666667,469.3333333,597.3333333,234.6666667,17.06666667,6.704761905,68.29268293,26.82926829
07/01/10,24,2,0.75ug/kg,7093.333333,67,2,3546.666667,105.8706468,1976,1064,988,532,29.49253731,15.88059701,55.71428571,30
06/08/10,1,3,0.075ug/kg,4573.333333,57.2,2,2286.666667,79.95337995,294,196,147,98,5.13986014,3.426573427,12.85714286,8.571428571
06/09/10,2,3,0.075ug/kg,4187,57.2,2,2093.5,73.1993007,1540.5,987.5,770.25,493.75,26.93181818,17.26398601,73.58490566,47.16981132
06/10/10,3,3,0.075ug/kg,4994,57.2,2,2497,87.30769231,1399.833333,567.5,699.9166667,283.75,24.47261072,9.921328671,56.06060606,22.72727273
06/11/10,4,3,0.075ug/kg,4440,57.2,2,2220,77.62237762,140,20,70,10,2.447552448,0.34965035,6.306306306,0.900900901
06/12/10,5,3,0.075ug/kg,3850,57.2,2,1925,67.30769231,0,0,0,0,0,0,0,0
